id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1858886,4BR Waterfront Home w/pool - Tropic Tiki Villa!,9443719,Ida Annika,,Pompano Beach,26.21185,-80.10533,Entire home/apt,832,2,14,2020-09-27,0.17,10,353
1865860,Comfy Studio in Quiet Neighborhood,2692728,Vera,,Oakland Park,26.17391,-80.1509,Entire home/apt,74,1,437,2021-04-12,4.81,3,69
1871833,"Beautiful, Two Story Home",9754289,,,Deerfield Beach,26.28459,-80.14557,Private room,79,5,31,2016-09-01,0.35,1,331
1876292,3 bdrm 2 bath pool home near beach,9774075,Joe,,Deerfield Beach,26.30344,-80.08797,Entire home/apt,436,4,11,2021-04-10,0.12,1,1
1901619,Waterfront home / pool near Miami,9873790,Suncove Villa,,Pompano Beach,26.218,-80.10078,Entire home/apt,290,5,30,2021-04-23,0.40,1,18
1909627,W Residences 2 BR Apartment Ft. Lauderdale Beach!,1118365,Allen,,Fort Lauderdale,26.12802,-80.1039,Entire home/apt,374,2,33,2020-09-07,0.40,1,303
1911406,"The Cracker Shack. Victoria Park, Fort Lauderdale",171749,Rob,,Fort Lauderdale,26.13293,-80.13682,Entire home/apt,167,30,18,2020-10-02,0.20,1,365
1965226,5 - Beach Bungalow w/ Free Parking,9946914,Nick,,Hollywood,26.02607,-80.11466,Entire home/apt,101,3,77,2021-04-15,0.87,4,332
1970524,"3 BED.2 BATH , PRIVATE POOL+PRIVACY",10175122,Francois,,Hollywood,26.03117,-80.21664,Entire home/apt,231,4,31,2021-04-10,0.35,1,98
1987335,Piso 5U- Amazing and Unique Apartment on the Beach,8790381,Natalia,,Hollywood,25.98869,-80.11806,Entire home/apt,136,4,28,2021-04-04,0.38,11,311
1988042,Pompano condo w/ ocean views,10253166,Amy,,Pompano Beach,26.24135,-80.08957,Entire home/apt,71,120,4,2018-11-12,0.05,1,41
1989116,2 - Beach Bungalow w/ Free Parking,9946914,Nick,,Hollywood,26.02587,-80.11573,Entire home/apt,118,3,52,2021-04-12,0.58,4,341
2007538,Ft. Lauderdale Cottage 1bdrm 1bath,3246027,Chris,,Fort Lauderdale,26.14176,-80.13035,Entire home/apt,85,2,342,2021-04-21,3.82,3,343
2011721,3 - Beach Bungalow w/ Free Parking,9946914,Nick,,Hollywood,26.0259,-80.11646,Entire home/apt,69,3,94,2021-04-28,1.05,4,308
2022083,BIMINI – Very Confy & Spacious,10384873,Giuliana & Eric,,Fort Lauderdale,26.09971,-80.15277,Private room,65,30,13,2019-12-20,0.15,5,329
2022117,Furnished Room # 3 share bathroom,10392690,Pochita,,Pembroke Pines,26.02633,-80.23914,Private room,49,3,34,2021-04-13,0.38,4,360
2023131,CAICOS - Best location!! Everything included,10384873,Giuliana & Eric,,Fort Lauderdale,26.09855,-80.15301,Private room,40,30,16,2018-12-03,0.19,5,270
2023138,BARBADOS – w/Private Entrance & Bathroom,10384873,Giuliana & Eric,,Fort Lauderdale,26.09871,-80.15148,Private room,70,30,15,2020-02-03,0.17,5,319
2026631,WELCOME..................HOME,2453109,Sarah,,Hollywood,26.02998,-80.14141,Entire home/apt,193,4,72,2021-03-26,0.81,3,328
2028061,"Modern, quaint, fully renovated",10416582,Shelly,,Tamarac,26.2276,-80.26648,Private room,45,1,12,2021-04-11,0.14,1,75
2030753,Sophi Studio - Deluxe Private Apartment,8815506,,,Wilton Manors,26.16079,-80.11885,Entire home/apt,125,2,37,2021-04-24,0.41,2,346
2034472,ANTIGUA - Nice & Quiet!!,10384873,Giuliana & Eric,,Fort Lauderdale,26.09889,-80.15126,Private room,60,30,25,2021-04-10,0.29,5,266
2043616,Best of Hallandle Beach Vacation,10479761,Barry,,Hallandale Beach,25.9775,-80.12035,Entire home/apt,77,60,3,2017-01-31,0.04,1,148
2052263,modern interior - close to beach- quiet area,3209220,Luxus Feriendomizile,,Fort Lauderdale,26.19932,-80.11357,Entire home/apt,150,14,48,2021-04-15,0.54,1,84
2057228,Lovely Room in Weston Florida.2 person’s Only room,10534063,Liliana,,Weston,26.11288,-80.36807,Private room,61,1,48,2020-12-23,0.54,1,338
2065724,Luxury Bedroom with Private Bath,791089,Conrad,,Plantation,26.11183,-80.26637,Private room,100,3,2,2018-03-26,0.05,4,364
2071609,APARTMENT 2 BEDROOM  IN FORT LAUDERDALE,10591425,Joana,,Fort Lauderdale,26.17837,-80.09627,Private room,200,4,42,2021-03-29,0.47,2,324
2108829,STUDIO ON THE BEACH OF FORT LAUDERDALE,10591425,Joana,,Fort Lauderdale,26.18015,-80.09637,Private room,100,4,54,2021-03-31,0.61,2,302
2116588,Downtown Fort Lauderdale and Beaches,10791649,Lena,,Fort Lauderdale,26.09111,-80.1884,Entire home/apt,228,4,83,2021-04-29,1.26,3,259
2137234,The Red Cottage,10907013,Samantha,,Fort Lauderdale,26.11271,-80.16019,Private room,150,1,0,,,1,362
2150323,"Private room/Plantation, Florida -K",1748183,Wendy,,Plantation,26.1332,-80.23615,Private room,50,2,65,2021-04-23,0.73,3,316
2177017,Pompano Beach House with Pool & Spa,6272954,Erica,,Margate,26.25055,-80.22174,Entire home/apt,316,7,65,2021-04-11,0.85,2,224
2192523,"PENTHOUSE SUITE HOLLYWOOD BEACH,FL",461777,,,Hollywood,26.00336,-80.11791,Entire home/apt,128,3,2,2019-09-14,0.06,1,7
2195826,Room available in W. Pembroke Pines,11065578,O. Josephine,,Pembroke Pines,25.99378,-80.35631,Private room,33,7,22,2021-03-30,0.27,1,68
2209568,Oceanfront Building: On the Beach! Enjoy it!,11270841,Pablo,,Hollywood,25.9873,-80.11862,Entire home/apt,168,2,24,2021-04-26,0.31,1,330
2210837,Private Suite @ Resort Like Home,11210319,Anchalee,,Parkland,26.31309,-80.22417,Private room,89,2,60,2021-02-12,0.69,1,234
2225635,Brand new unit/Near Hard Rock Hwd.,11357539,Michael,,Hollywood,26.02002,-80.20218,Entire home/apt,105,5,12,2019-11-06,0.14,1,96
2254312,The  Little Inn with a Big ❤️,11512158,Sea Spray Inn,,Lauderdale By The Sea,26.18779,-80.09628,Entire home/apt,119,2,101,2021-04-21,1.73,3,146
2254548,FABULOUS 1450 SQ.FT. CONDO WITH LAKEVIEW,11513176,Deborah,,Lauderhill,26.16538,-80.23533,Entire home/apt,128,1,16,2019-01-26,0.19,1,0
2262485,Peaceful Studio  with Full Kitchen,11553282,Lorraine,,Pompano Beach,26.21094,-80.11977,Entire home/apt,78,1,437,2021-04-21,5.04,5,310
2274922,Amazing Beach View Studio on Florida's Best Beach,11584719,Osean11,,Hollywood,26.01166,-80.11576,Entire home/apt,122,2,20,2021-04-20,3.92,1,335
2286016,Private Studio #2 patio/garden UV Light Sanatized,11679207,Jorge,,Hollywood,26.01656,-80.16073,Entire home/apt,50,30,5,2019-01-31,0.07,4,299
2302493,TURKS - Cozy !! Neat and simple,10384873,Giuliana & Eric,,Fort Lauderdale,26.09834,-80.15305,Private room,36,30,31,2021-04-13,0.36,5,272
2310615,Slice of paradise Private Heated Pool and Hot tub,510959,Gabriel,,Wilton Manors,26.15676,-80.14825,Entire home/apt,225,7,123,2021-04-19,1.41,3,312
2311108,Health & Wellness Retreat 5' from Hollywood Beach,11797569,Alejandro,,Hollywood,26.00034,-80.13695,Private room,95,3,11,2020-03-24,0.69,1,176
2323501,Beautiful apart over the beach with sea view TIDES,11867654,Marisa,,Hollywood,25.98913,-80.1173,Entire home/apt,130,30,37,2020-01-28,0.48,5,128
2362039,Furnished Room #2 share bathroom,10392690,Pochita,,Pembroke Pines,26.02662,-80.23809,Private room,53,3,10,2016-03-26,0.12,4,359
2379359,Block fm Bch 1/1- great rate long term- by Hilton,12154543,Shiela,,Fort Lauderdale,26.13854,-80.10828,Entire home/apt,138,28,88,2021-01-23,1.18,2,358
2410896,Piso 7W -  Delightful Bay View on the Beach,8790381,Natalia,,Hollywood,25.98869,-80.11806,Entire home/apt,214,4,26,2021-02-15,0.34,11,298
2442353,Master room,11041743,Juanita,,Margate,26.24417,-80.21577,Private room,76,1,21,2020-04-04,0.24,1,330
2452611,"Resort Villa W, Ocean/IntraCoastal, why not BOTH?",12540540,Tom,,Hillsboro Beach,26.30278,-80.07947,Entire home/apt,158,4,18,2020-08-30,0.37,5,263
2496310,BEACH CLUB ON THE BEACH 5-STAR APT,2001930,Dmitri,,Hallandale Beach,25.98542,-80.11992,Entire home/apt,225,20,0,,,48,349
